bugNumber,summary,severity,priority,testBlocking,globalState,component,subComponent,releaseState,releaseDetected,targetReleaseId,creator,verifier,assignedTo,creatorManager,verifierManager,udfFeature,passedPreviously,lastPassBuild,metaData,keyName,reportedByCustomer,creationTimeStamp,crState
xos0055574,"AVB: Egress ports fails to get added to few dynamic VLANs when performing a DUT","3 - Minor","3 - Important",,Assigned,L2,STP/RSTP/MSTP,Assigned,"EXOS 15.5.1",3511,ragrajan,ragrajan,vsuresh,"Uma Parthasarathy","Anand Sundaresh Natarajan","Existing Feature",No,,,,,2014-04-16,open
xos0055598,"XNV Dynamic Vlan:On Scaling with 2045 VMS  Dynamic vlans are not created after ","3 - Minor","3 - Important",,Assigned,DC,XNV,Assigned,"EXOS 15.6.1",3511,sjamaludeen,sjamaludeen,travinanthanan,"Raj Velusamy","Anand Sundaresh Natarajan",Lion/X460G2,No,,,,,2014-04-18,open
xos0055909,"SNMP timesout when save configuration is being done","4 - Trivial","4 - Moderate",,Assigned,System,SNMP,Assigned,"EXOS 15.7.1",3511,samarasekaran,samarasekaran,grajagopalsai,"Hariharan Narayanan","Anand Sundaresh Natarajan","Existing Feature",No,,,,,2014-05-19,open
xos0055927,"Dynamic VLAN seems to replace the 802 .1p priority bits with priority 0","3 - Minor","3 - Important",,Assigned,DC,XNV,Assigned,"EXOS 15.6.1",3511,sasrinivasan,sasrinivasan,travinanthanan,"Gopla Ramkumar","Anand Sundaresh Natarajan","Existing Feature",No,,,,,2014-05-20,open
xos0055938,"Error message shown is not correct when the telnet request is being rejected du","4 - Trivial","4 - Moderate",,Verified,EMS,"Poor Msg Description",Verified,"EXOS 15.7.1",3511,samarasekaran,samarasekaran,,"Hariharan Narayanan",,"Existing Feature",No,,,,,2014-05-20,closed
xos0055966,"Getting folllowing error messages when 100FX/1000LX optics is inserted in 1G SF","2 - Major","3 - Important",,Assigned,System,Optics,Assigned,"EXOS 15.6.1",3511,dnarasimhan,dnarasimhan,sbose,"Anand Sundaresh Natarajan","Daya Narayana","Existing Feature",No,,,,,2014-05-21,open
xos0055997,"DHCPv4Bootprelay:EXOS CLI doesn't prevent the user from enabling BOOTPrelay on ","3 - Minor","3 - Important",,Assigned,NET,DHCP/BOOTP,Assigned,"EXOS 15.6.1",3511,sjamaludeen,sjamaludeen,vilangovan,"Raj Velusamy","Anand Sundaresh Natarajan","Existing Feature",No,,,,,2014-05-23,open
xos0056077,"Able to provide a value which is not supported for the variable SNMP-TARGET-MIB","4 - Trivial","4 - Moderate",,Assigned,System,SNMP,Assigned,"EXOS 15.7.1",3511,samarasekaran,samarasekaran,grajagopalsai,"Hariharan Narayanan","Anand Sundaresh Natarajan","Existing Feature",No,,,,,2014-05-28,open
xos0056090,"Watchdog expiration warning message appears when trying to enable and disable i","2 - Major","4 - Moderate",,Assigned,IP,"v6 General",Assigned,"EXOS 15.6.1",3511,bnavaneethapandian,bnavaneethapandian,ssuryaputra,"Shankar Palanivel","Tim Bourne","Cheetah - 48x",No,,,,,2014-05-29,open
xos0056112,"Negative values for WRED min/max thresholds and max drop rates prompts a mislea","3 - Minor","5 - Low",,Assigned,System,QoS/Bandwidth,Assigned,"EXOS 15.6.1",3511,achandra,achandra,rdayal,,"Daya Narayana","Existing Feature",No,,,,,2014-05-30,open
xos0056116,"Max-drop-rate range is set up to be 0-100 and not 1-100 as in the concepts guid","3 - Minor","5 - Low",,Assigned,System,QoS/Bandwidth,Assigned,"EXOS 15.6.1",3511,achandra,sclarke,rdayal,,"Daya Narayana","Existing Feature",No,,,,,2014-05-30,open
xos0056186,"X430: enabling PoE globally causes PoE disabled ports to deliver power","3 - Minor","3 - Important",,Assigned,System,PoE,Assigned,"EXOS 15.5.2",3511,ngrauel,spalanivel,sbose,,"Daya Narayana",,,,,,,2014-06-04,open
xos0056187,"Route to the mgmt table failed upon add bu mm","3 - Minor","5 - Low",,Assigned,System,Management,Assigned,"EXOS 15.6.1",3511,echaput,echaput,lzhao,"Fee, Brendan","Tim Bourne",,,,,,,2014-06-04,open
xos0056241,"Error �Failed to create mirroring destina� while failover with change vlan t","2 - Major","3 - Important",,Assigned,System,Mirroring,Assigned,"EXOS 15.6.1",3511,naarumugam,naarumugam,jford,"Suresh Babu Thuravupala","Daya Narayana",,,,,,,2014-06-07,open
xos0056286,"UPM-Netlogin: ""Erro:UPM.Msg.upmMsgExshLaunchStsFail"" error message seen during failover","2 - Major","3 - Important",,Assigned,Infrastructure,UPM,Assigned,"EXOS 15.6.1",3511,naarumugam,naarumugam,jcoates,"Suresh Babu Thuravupala","Lou Dernosek",,Yes,15.5.1.6,,,,2014-06-10,open
xos0056337,"Though default number of max gw is 4 fwd flag is set to all the ECMP routes","4 - Trivial","5 - Low",,Assigned,IP,"v4 General",Assigned,"EXOS 15.6.1",3511,umani,umani,erovner,"Gopla Ramkumar","Daya Narayana",,No,,,,,2014-06-12,open
xos0056376,"Multicast streams lost, any other port other than Cheetah port in LAG is enabled","2 - Major","3 - Important",,Assigned,L2,LACP/LAG,Assigned,"EXOS 15.6.1",3511,rouseph,rouseph,jford,"Gopla Ramkumar","Daya Narayana",,Yes,,,,,2014-06-13,open
xos0056378,"Routes does not show up as active in BGP route table after failover in stack","3 - Minor","4 - Moderate",,Assigned,IP,BGP,Assigned,"EXOS 15.6.1",3511,mraghuveer,tperiyannan,lzhao,,"Tim Bourne",,,,,,,2014-06-13,open
xos0056433,"Standby slots goes failed when failover executed with bcast traffic across slot","1 - Crash","3 - Important",,Assigned,System,Devices,Assigned,"EXOS 15.6.1",3511,rputhanpisharam,sadurai,afinkelstein,"Shankar Palanivel","Mark Tippens","Cheetah - 48x",No,,,,,2014-06-17,open
xos0056451,"802.1D not flushing entries by rapid ageing","3 - Minor","4 - Moderate",,Assigned,L2,STP/RSTP/MSTP,Assigned,"EXOS 15.6.1",3511,mroyce,mroyce,kosharma,"Kathirvel, Elangomaran","Anand Sundaresh Natarajan",,,,,,,2014-06-17,open
xos0056479,"15.4.1.3-patch1_2> BlackDiamond X8> idMgr performance issue","3 - Minor","3 - Important",,Assigned,L2,General,Assigned,"EXOS 15.4.1",3511,yyoon,yyoon,msharma,"Butterfield, Michael","Anand Sundaresh Natarajan",,,,,,,2014-02-12,open
xos0056610,"CLI: Enable learning on ports 'all' fails with lags","2 - Major","5 - Low",,Assigned,System,Management,Assigned,"EXOS 15.4.1",3511,chill,chill,mxu,"Kathirvel, Elangomaran","Tim Bourne",,,,,,,2014-03-05,open
xos0056630,"15.5.1.1 Ambiguous stp port lost when enable share/disable share","3 - Minor","3 - Important",,Assigned,L2,LACP/LAG,Assigned,"EXOS 15.5.1",3511,echaput,krgopal,krgopal,"Fee, Brendan","Raj Velusamy",,,,,,,2014-04-08,open
xos0056703,"MVRP: JoinTimer sending at incorrect interval","3 - Minor","3 - Important",,Assigned,VLAN,MVRP,Assigned,"EXOS 15.5.1",3511,mkelly,vsuresh,vsuresh,"Hogan, Peter","Anand Sundaresh Natarajan",,,,,,,2014-03-20,open
xos0056846,"RMON packet statistics inconsistent","3 - Minor","3 - Important",,Assigned,NET,RMON/SMON,Assigned,"EXOS 15.6.1",3511,mmitchel,mmitchel,grajagopalsai,"Hogan, Peter","Anand Sundaresh Natarajan",,,,,,,2014-04-28,open
xos0056884,"X460-G2 -  query Aneg Capable Mib returning invalid values for fiber combo ports","3 - Minor","5 - Low",,Assigned,System,"Port General",Assigned,"EXOS 15.6.1",3511,jcurran,mxu,mxu,,"Tim Bourne",,,,,,,2014-05-08,open
xos0056958,"Unable to create vlan using dynamic vlan name (convert to permanent)","2 - Major","5 - Low",No,Assigned,VLAN,General,Assigned,"EXOS 15.6.1",3511,rkifer,mxu,mxu,,"Tim Bourne",,,,,,,2014-05-28,open
xos0056962,"Able to delete dynamic-vlan when port authenticated on the vlan","3 - Minor","5 - Low",,Assigned,Security,,Assigned,"EXOS 15.6.1",3511,rkifer,mxu,mxu,,"Tim Bourne",,,,,,,2014-05-29,open
xos0056964,"Double DAD packets are sent on 2 high stack","3 - Minor","4 - Moderate",,Assigned,IP,"Neighbor Discovery",Assigned,"EXOS 15.6.1",3511,jhall,jhall,mxu,"Kathirvel, Elangomaran","Tim Bourne",,,,,,,2014-05-30,open
xos0057038,"Switch shows ""error"" without any explanation while refreshing incompatibl policy","3 - Minor","4 - Moderate",,Assigned,System,ACL,Assigned,"EXOS 15.6.1",3511,slakshmanan,slakshmanan,aoumanski,"Shankar Palanivel","Daya Narayana","Existing feature",,,,,,2014-06-24,open
xos0057050,"Set on ipCidrRouteinfo results in a ospf route being shown as static route","3 - Minor","4 - Moderate",,Assigned,System,SNMP,Assigned,"EXOS 15.6.1",3511,samarasekaran,samarasekaran,lzhao,"Hariharan Narayanan","Tim Bourne",,,,,,,2014-06-24,open
xos0057062,"Issue: Port Link does not come up for half duplex auto on","3 - Minor","3 - Important",,Assigned,System,"Port General",Assigned,"EXOS 15.6.1",3511,dnarasimhan,dnarasimhan,sbose,"Anand Sundaresh Natarajan","Daya Narayana","Existing feature",No,,,,,2014-06-25,open
xos0057095,"SNMP requests times out when deleting vlans","3 - Minor","4 - Moderate",,Assigned,System,SNMP,Assigned,"EXOS 15.6.1",3511,samarasekaran,samarasekaran,grajagopalsai,"Hariharan Narayanan","Anand Sundaresh Natarajan",,,,,,,2014-06-26,open
xos0057150,"RtMgr Is printing new line instead of printing an error","3 - Minor","4 - Moderate",,Assigned,IP,"v4 General",Assigned,"EXOS 15.6.1",3511,rarya,pvaigundaboopathy,lzhao,"Uma Parthasarathy","Tim Bourne",,No,,,,,2014-07-01,open
xos0057171,"HFO counts under sys-health-check are inconsistent","3 - Minor","4 - Moderate",,Assigned,System,,Assigned,"EXOS 15.6.1",3511,mmitchell,mmitchell,erovner,"Shankar Palanivel","Daya Narayana",,,,,,,2014-07-02,open
xos0057216,"LSP's getting removed from HW after enable/disable of record route object","2 - Major","3 - Important",,Assigned,MPLS,RSVP-TE/FRR,Assigned,"EXOS 15.5.2",3511,vaswadhati,vaswadhati,negus,"Gopla Ramkumar","Fee, Brendan",,,,,,,2014-07-07,open
xos0057228,"CLI Command, ""show mpls static lsp"" is not displaying correct output after quit.","3 - Minor","3 - Important",,Assigned,MPLS,General,Assigned,"EXOS 15.6.1",3511,rarya,pvaigundaboopathy,negus,"Uma Parthasarathy","Fee, Brendan",,No,,,,,2014-07-08,open
xos0057283,"XNV : EMS logs not availabe for NAS_port_id addition in the radius authenticatio","3 - Minor","3 - Important",,Assigned,DC,XNV,Assigned,"EXOS 15.7.1",3511,supandian,supandian,travinanthanan,"Raj Velusamy","Anand Sundaresh Natarajan",VMTracking_NetSight_ReAuthMib,,,,,,2014-07-10,open
xos0057312,"Informs not sent when vlans in vr-mgmt and vr-default have same ipaddress","3 - Minor","4 - Moderate",,Assigned,System,SNMP,Assigned,"EXOS 15.6.1",3511,samarasekaran,samarasekaran,grajagopalsai,"Hariharan Narayanan","Anand Sundaresh Natarajan",,,,,,,2014-07-11,open
xos0057356,"Wrong local interface IP is displayed in NTP show CLI Commands","2 - Major","4 - Moderate",,Assigned,NET,Tools,Assigned,"EXOS 15.7.1",3511,pilango,pilango,dnarasimhan,"Raj Velusamy","Anand Sundaresh Natarajan",,Yes,15.6.0.3,,,,2014-07-16,open
xos0057369,"Device hangs and does not respond for any commands when snmpMaster is continousl","3 - Minor","3 - Important",,Assigned,System,SNMP,Assigned,"EXOS 15.6.1",3511,samarasekaran,samarasekaran,grajagopalsai,"Hariharan Narayanan","Anand Sundaresh Natarajan",,,,,,,2014-07-16,open
xos0057396,"Feature Request: Optimizing the DHCP smart relay feature in sequential mode","5 - New Feature","5 - Low",,Assigned,NET,DHCP/BOOTP,Assigned,"EXOS 15.6.1",3511,rouseph,rouseph,vilangovan,"Gopla Ramkumar","Anand Sundaresh Natarajan",,,,,,,2014-07-18,open
xos0057427,"show command to determine the member port of LAG used for a given traffic flow","5 - New Feature","5 - Low",,Assigned,L2,LACP/LAG,Assigned,"EXOS 15.6.1",3511,mraghuveer,tperiyannan,jford,,"Daya Narayana",,,,,,,2014-07-22,open
xos0057449,"setting valid time to ""0"" in server is not deleting the snooped routes though pr","3 - Minor","3 - Important",,Assigned,NET,DHCP/BOOTP,Assigned,"EXOS 15.7.1",3511,sjamaludeen,sjamaludeen,vrajan,"Raj Velusamy","Anand Sundaresh Natarajan",,,,,,,2014-07-23,open
xos0057451,"Valid time value goes negative range on Setting valid timer>252117651 in server","3 - Minor","3 - Important",,Assigned,NET,DHCP/BOOTP,Assigned,"EXOS 15.7.1",3511,sjamaludeen,sjamaludeen,sjamaludeen,"Raj Velusamy","Raj Velusamy",,,,,,,2014-07-23,open
xos0057467,"Sending Dhcpv6 release is not clearing the snooped prefix entries","3 - Minor","4 - Moderate",,Assigned,NET,DHCP/BOOTP,Assigned,"EXOS 15.7.1",3511,sjamaludeen,sjamaludeen,vilangovan,"Raj Velusamy","Anand Sundaresh Natarajan",,,,,,,2014-07-24,open
xos0057478,"Sending Invalid Prefix Mask in server adds the routes dynamically","3 - Minor","4 - Moderate",,Assigned,NET,DHCP/BOOTP,Assigned,"EXOS 15.7.1",3511,sjamaludeen,sjamaludeen,vilangovan,"Raj Velusamy","Anand Sundaresh Natarajan",,,,,,,2014-07-25,open
xos0057523,"Still alternate path is available for destination convergence is failed in RSVP","2 - Major","4 - Moderate",,Assigned,MPLS,General,Assigned,"EXOS 15.6.1",3511,senmanoharan,senmanoharan,negus,"Gopla Ramkumar","Fee, Brendan",EXOS_RSVP,,,,,,2014-07-30,open
xos0057542,"MM-A MM-B cardExec boot timed out slot4 failed to boot","3 - Minor","3 - Important",,Assigned,System,Devices,Assigned,"EXOS 15.6.1",3511,echaput,echaput,rdayal,"Fee, Brendan","Daya Narayana",,,,,,,2014-07-31,open
xos0057545,"Clarification of ""Configuration failed on backup MM"" messages","4 - Trivial","5 - Low",,"Build Pending",Infrastructure,CM,"Build Pending","EXOS 15.6.1",3511,mmitchell,mmitchell,dcarson,"Shankar Palanivel","Jones, Jeff",,,,,,,2014-07-31,open
xos0057566,"valid time shows 0 for few routes even after expiry period and not getting remov","3 - Minor","4 - Moderate",,Assigned,NET,DHCP/BOOTP,Assigned,"EXOS 15.7.1",3511,sjamaludeen,sjamaludeen,vilangovan,"Raj Velusamy","Anand Sundaresh Natarajan",,,,,,,2014-08-04,open
xos0057610,"Smart Relay with dhcpv6 client having many issues and side effects","2 - Major","3 - Important",,Assigned,NET,DHCP/BOOTP,Assigned,"EXOS 15.7.1",3511,sjamaludeen,sjamaludeen,vilangovan,"Raj Velusamy","Anand Sundaresh Natarajan",,,,,,,2014-08-06,open
xos0057627,"Prefix Snooping will not work if the Relay DUT's image versions are different","3 - Minor","3 - Important",,Assigned,NET,DHCP/BOOTP,Assigned,"EXOS 15.7.1",3511,sjamaludeen,sjamaludeen,vilangovan,"Raj Velusamy","Anand Sundaresh Natarajan",,,,,,,2014-08-07,open
xos0057633,"BCM:All-Query on entPhysicalEntry using some non-existing index returns info","3 - Minor","4 - Moderate",,Assigned,System,SNMP,Assigned,"EXOS 15.7.1",3511,dranganathan,dranganathan,mxu,"Shankar Palanivel","Tim Bourne","Existing Feature",No,,,,,2014-08-07,open
xos0057715,"LSP FRR (fast-reroute) can not be disabled just after disabling lsp on stack","3 - Minor","3 - Important",,Assigned,MPLS,RSVP-TE/FRR,Assigned,"EXOS 15.6.1",3511,rarya,pvaigundaboopathy,negus,"Uma Parthasarathy","Fee, Brendan",,No,,,,,2014-08-14,open
xos0057741,"After the sharing is disabled also the dynamic vlan still holds the sharing port","2 - Major","3 - Important",,Assigned,VLAN,MVRP,Assigned,"EXOS 15.7.1",3511,rheppalraj,rheppalraj,vsuresh,"Raguraman Rajan","Anand Sundaresh Natarajan",MVRP_LAG,,,,,,2014-08-18,open
xos0057744,"DHCPv6 Packets are not forwarded to the ipv6inipv4 tunnel","5 - New Feature","3 - Important",,Assigned,NET,DHCP/BOOTP,Assigned,"EXOS 15.7.1",3511,sjamaludeen,sjamaludeen,vilangovan,"Raj Velusamy","Anand Sundaresh Natarajan",,,,,,,2014-08-18,open
xos0057762,"Often when mvrp is enabled for the member port it is allowing w/o any error","3 - Minor","3 - Important",,Assigned,VLAN,MVRP,Assigned,"EXOS 15.7.1",3511,rheppalraj,rheppalraj,vsuresh,"Raguraman Rajan","Anand Sundaresh Natarajan",MVRP_LAG,,,,,,2014-08-19,open
xos0057845,"Communities shown as clear-text in community index when store-encrypted is used","4 - Trivial","4 - Moderate",,Assigned,System,SNMP,Assigned,"EXOS 15.6.1",3511,samarasekaran,samarasekaran,grajagopalsai,"Hariharan Narayanan","Anand Sundaresh Natarajan",,,,,,,2014-08-26,open
xos0057884,"show mpls rsvp path path1 detail"" is not displaying info that path is up/down","5 - New Feature","4 - Moderate",,Assigned,MPLS,General,Assigned,"EXOS 15.6.1",3511,rarya,pvaigundaboopathy,negus,"Uma Parthasarathy","Fee, Brendan",,,,,,,2014-08-29,open
xos0057894,"Inter-VRF: Traffic gets routed even with ipforwarding disabled at egress VLAN","2 - Major","3 - Important",,Assigned,IP,VR/VRF/L3VPN,Assigned,"EXOS 15.6.1",3511,ragrajan,ragrajan,lzhao,"Uma Parthasarathy","Tim Bourne",,,,,,,2014-09-02,open
xos0057951,"Process dcbgp crash in debug log messaging","1 - Crash","3 - Important",,Assigned,IP,BGP,Assigned,"EXOS 15.6.1",3511,mraghuveer,uparthasarathy,gswanbon,,"Yohe, Kevin",,,,,,,2014-09-05,open
xos0057975,"MM-A not sync'd with MM-B after failover, can't log into MM-A","3 - Minor","3 - Important",,Assigned,System,Management,Assigned,"EXOS 15.6.1",3511,echaput,echaput,rdayal,"Fee, Brendan","Daya Narayana",,,,,,,2014-09-08,open
xos0058028,"RX Error observed for stack ports when stack/slot rebooted in 460G2 Alt stack","3 - Minor","3 - Important",No,Assigned,System,Devices,Assigned,"EXOS 15.6.1",3511,rputhanpisharam,rputhanpisharam,sbose,"Shankar Palanivel","Daya Narayana",Lion/X460G2,,,,,,2014-09-12,open
